Quantity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Heat Loss,20708.48973,16982.44276,15132.75401,12589.57118,10378.34996,7447.346188,6432.353151,7964.763162,10363.40333,13479.80386,16291.55702,20202.06292
,,,,,,,,,,,,
Cooling Load (HSW 150),0,0,260.8332523,794.2225997,5075.990932,12607.91743,19245.97717,14967.13954,5999.164803,401.5073659,2.9307107,0
Heating Load,53136.7157,35227.14261,16341.64286,6919.407963,181.7040634,0,0,0,26.3763963,3370.317305,26689.98234,42398.5917
Heat Gain,4111.669884,8194.589495,18335.66912,25337.78174,33151.29092,36570.28733,40911.43186,34780.23854,23540.87508,14114.36135,6286.989901,3847.20255
Heat Loss,20681.93749,16939.12685,14986.746,12355.23155,10193.71519,7369.770276,6366.675925,7888.535377,10270.70496,13322.57124,16234.73054,20178.08971
,,,,,,,,,,,,
Cooling Load (HOT 12 & HSW 150),0,2.9307107,404.4380766,1257.27489,5717.816576,12742.73012,19245.97717,14973.00097,6113.46252,480.6365548,2.9307107,0
Heating Load,52260.4332,33647.48955,14439.61162,4777.058441,131.8819815,0,0,0,23.4456856,2719.69953,25620.27294,41601.43839
Heat Gain,4971.012875,9695.728823,21037.98953,29759.81388,35347.85859,36968.80537,40913.33682,34809.83872,24031.94497,15473.12675,7171.449083,4613.583398
Heat Loss,20708.54834,16983.20474,15137.82414,12582.83055,10275.36479,7374.547334,6366.675925,7888.740527,10288.6116,13414.44902,16286.45758,20201.21301
,,,,,,,,,,,,
Cooling Load (HSW 125),0,0,252.0411202,732.677675,4779.989152,12221.06362,18938.25254,14694.58345,5729.539419,386.8538124,2.9307107,0
Heating Load,53233.42915,35400.05455,16737.28881,7420.559492,216.8725918,0,0,0,29.307107,3455.307915,26848.24072,42474.79018
Heat Gain,4023.689948,8037.503402,17844.01309,24436.1779,32033.89885,35398.00305,39986.11857,33929.45322,22657.55888,13921.84296,6144.821125,3784.39742
Heat Loss,20679.03608,16934.43772,14963.15378,12312.97071,10141.8123,7350.925806,6356.418437,7874.995494,10238.02753,13301.52873,16228.01921,20176.0089
,,,,,,,,,,,,
Cooling Load (HIT 25),0,2.9307107,451.3294478,1424.3254,7013.190705,14914.38675,21725.35842,17021.56775,7180.241215,609.5878256,2.9307107,0
Heating Load,52236.98752,33574.22178,14190.50121,4633.453617,105.5055852,0,0,0,17.5842642,2464.727699,25453.22243,41501.79422
Heat Gain,4971.012875,9730.721509,21489.20175,30594.9199,39885.77104,43496.99276,48440.92587,41047.76852,27306.13496,16357.41009,7274.932478,4639.227117
Heat Loss,20708.57765,16984.08396,15177.56457,12632.97501,10418.14901,7469.912661,6448.325525,7979.27018,10385.32505,13509.05236,16296.33408,20202.06292
,,,,,,,,,,,,
Cooling Load (HIT 24 & HSW 150),0,2.9307107,363.4081268,1060.917273,5386.646267,12634.29383,19251.83859,14975.93168,6040.194753,457.1908692,5.8614214,0
Heating Load,52263.36391,33682.65808,14706.30629,5184.427228,146.535535,0,0,0,23.4456856,2734.353083,25649.58005,41575.06199
Heat Gain,4968.258007,9688.841653,20508.73249,28443.98339,34284.12783,36640.85884,40928.13691,34815.43637,23729.61285,15387.43277,7214.296073,4639.227117
Heat Loss,20708.46042,16982.12038,15099.69559,12509.38694,10240.3721,7371.177017,6366.851767,7889.033598,10278.3248,13416.23675,16287.04372,20202.06292
,,,,,,,,,,,,
Cooling Load (HOT 14 & HSW 150),0,2.9307107,422.0223408,1386.226161,6257.067345,13185.26744,19295.79925,15046.26873,6336.196533,556.835033,2.9307107,0
Heating Load,52260.4332,33644.55884,14328.24461,4697.929252,111.3670066,0,0,0,20.5149749,2581.956127,25570.45086,41575.06199
Heat Gain,4971.012875,9730.721509,21255.09658,30455.74044,37275.59216,38350.13724,41016.46853,35052.76533,24814.44473,16017.09596,7246.651119,4639.227117
Heat Loss,20708.54834,16984.08396,15155.43771,12623.12782,10340.71963,7393.186654,6368.082666,7892.374608,10314.37254,13467.20181,16293.43267,20202.06292
,,,,,,,,,,,,
Cooling Load (DUE NORTH),5.8614214,67.4063461,920.2431598,1260.205601,4349.174679,10518.3207,17074.32054,13721.5875,5931.758457,975.9266631,58.614214,0
Heating Load,49819.15119,31408.42657,14794.22761,6201.383841,187.5654848,0,0,0,26.3763963,2743.145215,24301.45312,39078.09647
Heat Gain,7086.341244,11995.57474,22160.59827,27886.53291,31032.12332,31072.27405,35258.29607,31618.11892,23399.0873,17148.02791,8776.892404,7010.20138
Heat Loss,20686.65593,17048.55959,15239.60772,12605.48494,10244.38717,7448.577087,6466.114939,7992.223922,10372.63507,13487.01341,16353.95185,20229.02546
,,,,,,,,,,,,
Cooling Load (DUE EAST),0,2.9307107,337.0317305,1043.333009,5222.526467,12042.29027,18618.80508,14375.13598,5430.606927,369.2695482,2.9307107,0
Heating Load,52949.15022,34025.55123,14354.62101,4996.861744,149.4662457,0,0,0,23.4456856,2749.006637,26508.27828,42354.63104
Heat Gain,4376.781974,9417.252692,20724.31557,28499.22729,33610.26952,34860.59863,39077.94994,32969.64547,21860.28834,14975.14039,6463.067,4010.999971
Heat Loss,20667.07879,16953.04773,15117.8953,12565.27559,10293.18351,7473.341592,6475.610441,7975.811942,10338.69744,13387.80886,16217.32212,20172.11106
,,,,,,,,,,,,
Cooling Load (DUE NORTH EAST),2.9307107,26.3763963,624.2413791,1207.452808,4973.416058,11564.58442,18117.65355,14061.54994,5518.528248,597.8649828,8.7921321,0
Heating Load,51164.3474,32891.36619,15043.33802,5665.063783,164.1197992,0,0,0,29.307107,3015.70131,25520.62878,40136.08304
Heat Gain,6021.115826,10570.51666,20788.96704,28147.1024,32963.02206,33797.8057,37969.67238,32365.88976,22106.3215,15513.7757,7483.950765,6088.023951
Heat Loss,20790.46171,17076.75303,15105.41048,12485.14996,10280.05392,7474.77764,6480.446114,7971.415876,10312.49689,13413.01297,16347.35775,20288.5775
,,,,,,,,,,,,
Cooling Load (DUE SOUTH EAST),2.9307107,11.7228428,536.3200581,1072.640116,4821.019102,11529.41589,18138.16852,14181.70908,5600.588148,618.3799577,23.4456856,0
Heating Load,51006.08902,32715.52354,15128.32863,5606.449569,167.0505099,2.9307107,0,0,29.307107,2880.888618,24799.67394,40092.12238
Heat Gain,6120.027312,10621.92133,20572.97366,27833.3112,32419.72691,33491.98604,37825.59864,32459.78973,22185.53861,15763.50156,8111.884839,6005.641674
Heat Loss,20784.57098,17045.77542,15098.78707,12496.0229,10270.17743,7476.741217,6482.263155,7969.217843,10305.19942,13425.82017,16380.24032,20266.59717
,,,,,,,,,,,,
